//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
                                                                                          nonbreakingspace  no-break space = non-breaking space, U+00A0 ISOnum
¡             ¡             ¡             &#161;          &#x00A1;        &iexcl;         exclamdown      inverted exclamation mark, U+00A1 ISOnum
¢             ¢             ¢             &#162;          &#x00A2;        &cent;          cent            cent sign, U+00A2 ISOnum
£             £             £             &#163;          &#x00A3;        &pound;         sterling        pound sign, U+00A3 ISOnum
¤             ¤             ¤             &#164;          &#x00A4;        &curren;        currency        currency sign, U+00A4 ISOnum
¥             ¥             ¥             &#165;          &#x00A5;        &yen;           yen             yen sign = yuan sign, U+00A5 ISOnum
¦             ¦             ¦             &#166;          &#x00A6;        &brvbar;        brokenbar       broken bar = broken vertical bar, U+00A6 ISOnum
§             §             §             &#167;          &#x00A7;        &sect;          section         section sign, U+00A7 ISOnum
¨             ¨             ¨             &#168;          &#x00A8;        &uml;           dieresis        diaeresis = spacing diaeresis, U+00A8 ISOdia
©             ©             ©             &#169;          &#x00A9;        &copy;          copyright       copyright sign, U+00A9 ISOnum
ª             ª             ª             &#170;          &#x00AA;        &ordf;          ordfeminine     feminine ordinal indicator, U+00AA ISOnum
«             «             «             &#171;          &#x00AB;        &laquo;         guillemotleft   left-pointing double angle quotation mark = left pointing guillemet, U+00AB ISOnum
¬             ¬             ¬             &#172;          &#x00AC;        &not;           logicalnot      not sign, U+00AC ISOnum
­             ­             ­             &#173;          &#x00AD;        &shy;           sfthyphen
                                                                                          softhyphen      soft hyphen = discretionary hyphen, U+00AD ISOnum
®             ®             ®             &#174;          &#x00AE;        &reg;           registered      registered sign = registered trade mark sign, U+00AE ISOnum
¯             ¯             ¯             &#175;          &#x00AF;        &macr;          macron
                                                                                          overscore       macron = spacing macron = overline = APL overbar, U+00AF ISOdia
°             °             °             &#176;          &#x00B0;        &deg;           degree          degree sign, U+00B0 ISOnum
±             ±             ±             &#177;          &#x00B1;        &plusmn;        plusminus       plus-minus sign = plus-or-minus sign, U+00B1 ISOnum
²             ²             ²             &#178;          &#x00B2;        &sup2;          twosuperior     superscript two = superscript digit two = squared, U+00B2 ISOnum
³             ³             ³             &#179;          &#x00B3;        &sup3;          threesuperior   superscript three = superscript digit three = cubed, U+00B3 ISOnum
´             ´             ´             &#180;          &#x00B4;        &acute;         acute           acute accent = spacing acute, U+00B4 ISOdia
µ             µ             µ             &#181;          &#x00B5;        &micro;         mu
                                                                                          mu1             micro sign, U+00B5 ISOnum
¶             ¶             ¶             &#182;          &#x00B6;        &para;          paragraph       pilcrow sign = paragraph sign, U+00B6 ISOnum
·             ·             ·             &#183;          &#x00B7;        &middot;        middot
                                                                                          periodcentered  middle dot = Georgian comma = Greek middle dot, U+00B7 ISOnum
¸             ¸             ¸             &#184;          &#x00B8;        &cedil;         cedilla         cedilla = spacing cedilla, U+00B8 ISOdia
¹             ¹             ¹             &#185;          &#x00B9;        &sup1;          onesuperior     superscript one = superscript digit one, U+00B9 ISOnum
º             º             º             &#186;          &#x00BA;        &ordm;          ordmasculine    masculine ordinal indicator, U+00BA ISOnum
»             »             »             &#187;          &#x00BB;        &raquo;         guillemotright  right-pointing double angle quotation mark = right pointing guillemet, U+00BB ISOnum
¼             ¼             ¼             &#188;          &#x00BC;        &frac14;        onequarter      vulgar fraction one quarter = fraction one quarter, U+00BC ISOnum
½             ½             ½             &#189;          &#x00BD;        &frac12;        onehalf         vulgar fraction one half = fraction one half, U+00BD ISOnum
¾             ¾             ¾             &#190;          &#x00BE;        &frac34;        threequarters   vulgar fraction three quarters = fraction three quarters, U+00BE ISOnum
¿             ¿             ¿             &#191;          &#x00BF;        &iquest;        questiondown    inverted question mark = turned question mark, U+00BF ISOnum
À             À             À             &#192;          &#x00C0;        &Agrave;        Agrave          latin capital letter A with grave = latin capital letter A grave, U+00C0 ISOlat1
Á             Á             Á             &#193;          &#x00C1;        &Aacute;        Aacute          latin capital letter A with acute, U+00C1 ISOlat1
Â             Â             Â             &#194;          &#x00C2;        &Acirc;         Acircumflex     latin capital letter A with circumflex, U+00C2 ISOlat1
Ã             Ã             Ã             &#195;          &#x00C3;        &Atilde;        Atilde          latin capital letter A with tilde, U+00C3 ISOlat1
Ä             Ä             Ä             &#196;          &#x00C4;        &Auml;          Adieresis       latin capital letter A with diaeresis, U+00C4 ISOlat1
Å             Å             Å             &#197;          &#x00C5;        &Aring;         Aring           latin capital letter A with ring above = latin capital letter A ring, U+00C5 ISOlat1
Æ             Æ             Æ             &#198;          &#x00C6;        &AElig;         AE              latin capital letter AE = latin capital ligature AE, U+00C6 ISOlat1
Ç             Ç             Ç             &#199;          &#x00C7;        &Ccedil;        Ccedilla        latin capital letter C with cedilla, U+00C7 ISOlat1
È             È             È             &#200;          &#x00C8;        &Egrave;        Egrave          latin capital letter E with grave, U+00C8 ISOlat1
É             É             É             &#201;          &#x00C9;        &Eacute;        Eacute          latin capital letter E with acute, U+00C9 ISOlat1
Ê             Ê             Ê             &#202;          &#x00CA;        &Ecirc;         Ecircumflex     latin capital letter E with circumflex, U+00CA ISOlat1
Ë             Ë             Ë             &#203;          &#x00CB;        &Euml;          Edieresis       latin capital letter E with diaeresis, U+00CB ISOlat1
